"","X","Z","Y"
"73","m_ampicillin","m_ceftriaxone","Klebsiella.michiganensis.PTR"
"74","m_ampicillin","m_ceftriaxone","Klebsiella.oxytoca.abundance"
"75","m_ampicillin","m_ceftriaxone","ARO.3004611Escherichia"
"76","CRIB.II.Score","m_ceftriaxone","Citrobacter.freundii.PTR"
"77","CRIB.II.Score","m_ceftriaxone","Klebsiella.michiganensis.PTR"
"78","CRIB.II.Score","m_ceftriaxone","Klebsiella.oxytoca.abundance"
"79","CRIB.II.Score","m_ceftriaxone","ARO.3004611Escherichia"
"80","Citrobacter.freundii.PTR","m_ceftriaxone","Klebsiella.michiganensis.PTR"
"81","Citrobacter.freundii.PTR","m_ceftriaxone","Klebsiella.oxytoca.abundance"
"82","Citrobacter.freundii.PTR","m_ceftriaxone","ARO.3004611Escherichia"
"83","Klebsiella.michiganensis.PTR","m_ceftriaxone","Klebsiella.oxytoca.abundance"
"84","Klebsiella.michiganensis.PTR","m_ceftriaxone","ARO.3004611Escherichia"
"85","Klebsiella.oxytoca.abundance","m_ceftriaxone","ARO.3004611Escherichia"
"86","m_amoxicillin","m_azithromycin","m_clindamycin"
"87","m_amoxicillin","m_azithromycin","Bacteroides.fragilis.abundance"
"88","m_amoxicillin","m_azithromycin","ARO.3000412sul2"
"89","m_clindamycin","m_azithromycin","Klebsiella.pneumoniae.abundance"
"90","m_clindamycin","m_azithromycin","Bacteroides.fragilis.abundance"
"91","m_clindamycin","m_azithromycin","ARO.3000412sul2"
"92","Klebsiella.pneumoniae.abundance","m_azithromycin","Bacteroides.fragilis.abundance"
"93","Klebsiella.pneumoniae.abundance","m_azithromycin","ARO.3000412sul2"
"94","Donor_Milk","m_cefazolin","ARO.3000410sul1"
"95","Donor_Milk","m_cefazolin","ARO.3000596ErmX"
"96","ARO.3000410sul1","m_cefazolin","ARO.3000596ErmX"
"97","Ampicillin","m_erythromycin","r_Cefotaxime"
"98","dur_membrane_rupture","m_gentamicin","ARO.3000375ErmB"
"99","dur_membrane_rupture","m_gentamicin","ARO.3001847ACT.27"
"100","ARO.3000375ErmB","m_gentamicin","ARO.3001847ACT.27"
"101","m_cefotaxime","m_penicillin","Enterobacter.asburiae.abundance"
"102","m_cefotaxime","m_penicillin","ARO.3003577ugd"
"103","Enterobacter.asburiae.abundance","m_penicillin","ARO.3003577ugd"
"104","m_ampicillin","m_cefotaxime","ARO.3000616mel"
"105","m_ampicillin","m_cefotaxime","ARO.3000596ErmX"
"106","ARO.3000616mel","m_cefotaxime","ARO.3000596ErmX"
"107","Ampicillin","dur_membrane_rupture","r_Cefotaxime"
"108","Ampicillin","dur_membrane_rupture","m_azithromycin"
"109","Ampicillin","dur_membrane_rupture","Clostridium.perfringens.abundance"
"110","Ampicillin","dur_membrane_rupture","ARO.3002641APH.3...Ia"
"111","Ampicillin","dur_membrane_rupture","ARO.3004442tet.W.N.W."
"112","r_Cefotaxime","dur_membrane_rupture","m_azithromycin"
"113","r_Cefotaxime","dur_membrane_rupture","Clostridium.perfringens.abundance"
"114","r_Cefotaxime","dur_membrane_rupture","ARO.3002641APH.3...Ia"
"115","r_Cefotaxime","dur_membrane_rupture","ARO.3004442tet.W.N.W."
"116","m_azithromycin","dur_membrane_rupture","Clostridium.perfringens.abundance"
"117","m_azithromycin","dur_membrane_rupture","ARO.3002641APH.3...Ia"
"118","m_azithromycin","dur_membrane_rupture","ARO.3004442tet.W.N.W."
"119","Clostridium.perfringens.abundance","dur_membrane_rupture","ARO.3002641APH.3...Ia"
"120","Clostridium.perfringens.abundance","dur_membrane_rupture","ARO.3004442tet.W.N.W."
"121","ARO.3002641APH.3...Ia","dur_membrane_rupture","ARO.3004442tet.W.N.W."
"122","ARO.3001837ACT.15","CRIB.II.Score","ARO.3000191tetQ"
"123","m_penicillin","Escherichia.coli.abundance","ARO.3000412sul2"
"124","m_penicillin","Escherichia.coli.abundance","ARO.3004039Escherichia"
"125","ARO.3000412sul2","Escherichia.coli.abundance","ARO.3004039Escherichia"
"126","ARO.3003548mdtN","Escherichia.coli.PTR","ARO.3000829baeS"
"127","Formula","Klebsiella.aerogenes.abundance","ARO.3000375ErmB"
"128","Formula","Klebsiella.aerogenes.abundance","ARO.3003209FosA5"
"129","Formula","Klebsiella.aerogenes.abundance","ARO.3000195tetB.P."
"130","ARO.3000375ErmB","Klebsiella.aerogenes.abundance","ARO.3003209FosA5"
"131","ARO.3000375ErmB","Klebsiella.aerogenes.abundance","ARO.3000195tetB.P."
"132","ARO.3003209FosA5","Klebsiella.aerogenes.abundance","ARO.3000195tetB.P."
"133","ARO.3002985arnA","Klebsiella.aerogenes.PTR","ARO.3004041Klebsiella"
"134","ARO.3002985arnA","Klebsiella.aerogenes.PTR","ARO.3003209FosA5"
"135","ARO.3004041Klebsiella","Klebsiella.aerogenes.PTR","ARO.3003209FosA5"
"136","ARO.3002865dfrC","Staphylococcus.epidermidis.PTR","ARO.3000617mecA"
"137","ARO.3002865dfrC","Staphylococcus.epidermidis.PTR","ARO.3000216acrB"
"138","ARO.3000617mecA","Staphylococcus.epidermidis.PTR","ARO.3000216acrB"
"139","m_amoxicillin","Citrobacter.freundii.abundance","Citrobacter.freundii.PTR"
"140","m_amoxicillin","Klebsiella.pneumoniae.abundance","m_vancomycin"
"141","m_amoxicillin","Klebsiella.pneumoniae.abundance","ARO.3004580Klebsiella"
"142","m_amoxicillin","Klebsiella.pneumoniae.abundance","ARO.3004111FosA6"
"143","m_amoxicillin","Klebsiella.pneumoniae.abundance","ARO.3002986bacA"
"144","m_vancomycin","Klebsiella.pneumoniae.abundance","ARO.3004580Klebsiella"
"145","m_vancomycin","Klebsiella.pneumoniae.abundance","ARO.3004111FosA6"
"146","m_vancomycin","Klebsiella.pneumoniae.abundance","ARO.3002986bacA"
"147","ARO.3004580Klebsiella","Klebsiella.pneumoniae.abundance","ARO.3004111FosA6"
"148","ARO.3004580Klebsiella","Klebsiella.pneumoniae.abundance","ARO.3002986bacA"
"149","ARO.3004111FosA6","Klebsiella.pneumoniae.abundance","ARO.3002986bacA"
"150","ARO.3002985arnA","Klebsiella.pneumoniae.PTR","ARO.3004583Klebsiella"
"151","ARO.3002985arnA","Klebsiella.pneumoniae.PTR","ARO.3003922oqxA"
"152","ARO.3002985arnA","Klebsiella.pneumoniae.PTR","ARO.3003209FosA5"
"153","ARO.3004583Klebsiella","Klebsiella.pneumoniae.PTR","ARO.3003922oqxA"
"154","ARO.3004583Klebsiella","Klebsiella.pneumoniae.PTR","ARO.3003209FosA5"
"155","ARO.3003922oqxA","Klebsiella.pneumoniae.PTR","ARO.3003209FosA5"
"156","ARO.3004042Enterobacter","Enterobacter.cloacae.abundance","ARO.3002804FosA2"
"157","ARO.3004042Enterobacter","Enterobacter.cloacae.PTR","ARO.3002804FosA2"
"158","ARO.3003730Bifidobacteria","Bifidobacterium.longum.PTR","ARO.3001839ACT.18"
"159","ARO.3003730Bifidobacteria","Bifidobacterium.longum.PTR","ARO.3001214mdtM"
"160","ARO.3001839ACT.18","Bifidobacterium.longum.PTR","ARO.3001214mdtM"
"161","Enterobacter.sp..HK169.abundance","Enterobacter.roggenkampii.abundance","ARO.3000616mel"
"162","Enterobacter.sp..HK169.abundance","Enterobacter.roggenkampii.abundance","ARO.3001327mdtK"
"163","Enterobacter.sp..HK169.abundance","Enterobacter.roggenkampii.abundance","ARO.3000596ErmX"
"164","Enterobacter.asburiae.abundance","Enterobacter.roggenkampii.abundance","ARO.3000616mel"
"165","Enterobacter.asburiae.abundance","Enterobacter.roggenkampii.abundance","ARO.3001327mdtK"
"166","Enterobacter.asburiae.abundance","Enterobacter.roggenkampii.abundance","ARO.3000596ErmX"
"167","ARO.3000616mel","Enterobacter.roggenkampii.abundance","ARO.3001327mdtK"
"168","ARO.3000616mel","Enterobacter.roggenkampii.abundance","ARO.3000596ErmX"
"169","ARO.3001327mdtK","Enterobacter.roggenkampii.abundance","ARO.3000596ErmX"
"170","Enterococcus.faecalis.PTR","Enterococcus.faecalis.abundance","ARO.3002875dfrE"
"171","Enterococcus.faecalis.PTR","Enterococcus.faecalis.abundance","ARO.3000676H.NS"
"172","ARO.3002875dfrE","Enterococcus.faecalis.abundance","ARO.3000676H.NS"
"173","ARO.3000300lsaA","Enterococcus.faecalis.PTR","ARO.3003949efrB"
"174","ARO.3004580Klebsiella","Klebsiella.quasipneumoniae.PTR","ARO.3004583Klebsiella"
"175","ARO.3004580Klebsiella","Klebsiella.quasipneumoniae.PTR","ARO.3000180tetA.P."
"176","ARO.3004583Klebsiella","Klebsiella.quasipneumoniae.PTR","ARO.3000180tetA.P."
"177","Klebsiella.michiganensis.PTR","Klebsiella.michiganensis.abundance","Klebsiella.oxytoca.abundance"
"178","Klebsiella.michiganensis.PTR","Klebsiella.michiganensis.abundance","Klebsiella.sp..M5al.abundance"
"179","ARO.3000830cpxA","Klebsiella.michiganensis.PTR","ARO.3003730Bifidobacteria"
"180","ARO.3003773Clostridium","Clostridium.perfringens.abundance","ARO.3000180tetA.P."
"181","ARO.3003773Clostridium","Clostridium.perfringens.PTR","ARO.3000410sul1"
"182","ARO.3003773Clostridium","Clostridium.perfringens.PTR","ARO.3000195tetB.P."
"183","ARO.3000410sul1","Clostridium.perfringens.PTR","ARO.3000195tetB.P."
"184","ARO.3002641APH.3...Ia","Klebsiella.oxytoca.PTR","ARO.3001327mdtK"
"185","ARO.3002641APH.3...Ia","Klebsiella.oxytoca.PTR","ARO.3000823ramA"
"186","ARO.3001327mdtK","Klebsiella.oxytoca.PTR","ARO.3000823ramA"
"187","Bacteroides.fragilis.PTR","Bacteroides.fragilis.abundance","ARO.3000194tetW"
"188","ARO.3004039Escherichia","Bacteroides.fragilis.PTR","ARO.3000191tetQ"
"189","Enterobacter.sp..HK169.PTR","Enterobacter.sp..HK169.abundance","Enterobacter.asburiae.abundance"
"190","ARO.3004611Escherichia","Enterobacter.asburiae.PTR","ARO.3000410sul1"
"191","ARO.3004611Escherichia","Enterobacter.asburiae.PTR","ARO.3000180tetA.P."
"192","ARO.3000410sul1","Enterobacter.asburiae.PTR","ARO.3000180tetA.P."
"193","Enterococcus.faecium.abundance","Klebsiella.sp..M5al.abundance","Klebsiella.oxytoca.abundance"
"194","m_erythromycin","Veillonella.parvula.abundance","Veillonella.parvula.PTR"
"195","Vancomycin","Enterobacter.sp..DKU_NT_01.abundance","Enterobacter.cloacae.abundance"
"196","Vancomycin","Enterobacter.sp..DKU_NT_01.abundance","Enterobacter.sp..DKU_NT_01.PTR"
"197","Vancomycin","Enterobacter.sp..DKU_NT_01.abundance","ARO.3001838ACT.17"
"198","Enterobacter.cloacae.abundance","Enterobacter.sp..DKU_NT_01.abundance","Enterobacter.sp..DKU_NT_01.PTR"
"199","Enterobacter.cloacae.abundance","Enterobacter.sp..DKU_NT_01.abundance","ARO.3001838ACT.17"
"200","ARO.3002804FosA2","Enterobacter.sp..DKU_NT_01.PTR","ARO.3000410sul1"
"201","ARO.3002804FosA2","Enterobacter.sp..DKU_NT_01.PTR","ARO.3001838ACT.17"
"202","ARO.3002804FosA2","Enterobacter.sp..DKU_NT_01.PTR","ARO.3001839ACT.18"
"203","ARO.3000410sul1","Enterobacter.sp..DKU_NT_01.PTR","ARO.3001838ACT.17"
"204","ARO.3000410sul1","Enterobacter.sp..DKU_NT_01.PTR","ARO.3001839ACT.18"
"205","ARO.3001838ACT.17","Enterobacter.sp..DKU_NT_01.PTR","ARO.3001839ACT.18"
"206","Klebsiella.quasipneumoniae.abundance","Enterobacteriaceae.bacterium.S05.abundance","Enterobacteriaceae.bacterium.S05.PTR"
